evolutionary_step,[convergence_times]
0,[0, 0, 6, 0, 0, 0, 0, 0, 7, 0, 0, 1, 0, 1, 1, 7, 0, 0, 0, 0, 10, 29, 33, 0, 1, 0, 1, 0, 0, 0]
1,[24, 22, 22, 1, 18, 0, 0, 29, 0, 1, 0, 17, 0, 32, 9, 44, 96, 1, 23, 14, 1, 17, 0, 0, 0, 0, 0, 0, 0, 0]
2,[4, 9, 33, 78, 0, 37, 77, 0, 17, 0, 0, 11, 2, 33, 22, 16, 24, 0, 81, 0, 8, 62, 0, 13, 10, 14, 44, 1, 32, 12]
3,[25, 6, 55, 50, 79, 24, 32, 40, 0, 26, 1, 13, 42, 0, 20, 1, 68, 8, 43, 12, 7, 120, 0, 90, 0, 30, 0, 0, 1, 0]
4,[33, 68, 126, 50, 103, 57, 0, 54, 19, 0, 6, 0, 19, 0, 1, 0, 4, 0, 13, 0, 0, 0, 48, 8, 26, 30, 55, 7, 20, 87]
5,[90, 120, 18, 19, 101, 24, 28, 14, 87, 48, 18, 21, 23, 0, 112, 78, 8, 38, 13, 86, 21, 69, 59, 9, 31, 17, 34, 19, 2, 0]
6,[26, 31, 18, 14, 34, 22, 127, 0, 1, 1, 7, 63, 1, 42, 18, 7, 56, 0, 80, 0, 8, 7, 0, 12, 72, 55, 16, 27, 1, 12]
7,[68, 15, 15, 55, 54, 75, 25, 53, 22, 17, 17, 28, 4, 10, 19, 51, 14, 69, 23, 1, 69, 11, 37, 4, 44, 21, 35, 31, 33, 36]
8,[23, 75, 15, 22, 35, 42, 40, 40, 0, 0, 8, 37, 0, 41, 43, 3, 68, 4, 46, 16, 94, 10, 4, 6, 2, 54, 18, 30, 38, 18]
9,[32, 21, 40, 79, 75, 76, 35, 17, 6, 17, 30, 65, 9, 32, 0, 57, 9, 10, 76, 40, 37, 6, 29, 51, 0, 32, 13, 52, 52, 32]
10,[45, 39, 95, 44, 35, 87, 45, 49, 46, 4, 48, 14, 7, 5, 8, 67, 5, 49, 2, 27, 39, 21, 9, 45, 6, 17, 13, 19, 9, 12]
11,[81, 40, 50, 127, 75, 105, 28, 0, 8, 10, 0, 13, 0, 3, 13, 21, 21, 1, 85, 14, 0, 59, 55, 4, 4, 41, 25, 16, 17, 32]
12,[89, 49, 35, 83, 76, 43, 15, 118, 7, 9, 19, 71, 47, 13, 57, 56, 13, 13, 4, 5, 19, 42, 44, 29, 14, 65, 40, 39, 6, 18]
13,[48, 48, 80, 77, 68, 76, 72, 39, 13, 47, 58, 79, 15, 33, 6, 43, 4, 63, 30, 7, 99, 98, 46, 28, 83, 7, 0, 16, 23, 47]
14,[114, 91, 86, 72, 40, 104, 33, 82, 22, 26, 141, 3, 48, 69, 4, 138, 1, 21, 47, 0, 61, 3, 43, 0, 11, 44, 49, 28, 17, 91]
15,[51, 88, 46, 75, 125, 154, 31, 40, 0, 46, 47, 23, 0, 11, 43, 4, 40, 32, 48, 32, 10, 82, 27, 22, 103, 2, 89, 102, 0, 23]
16,[75, 27, 102, 175, 108, 63, 45, 23, 43, 17, 1, 22, 77, 128, 56, 24, 14, 96, 1, 75, 3, 91, 69, 9, 75, 0, 37, 20, 1, 95]
17,[144, 35, 76, 92, 42, 86, 40, 56, 40, 29, 29, 173, 26, 83, 30, 41, 84, 44, 0, 10, 48, 5, 6, 40, 129, 1, 76, 61, 43, 101]
18,[109, 116, 60, 128, 88, 111, 12, 0, 155, 47, 83, 25, 1, 29, 82, 10, 0, 74, 27, 29, 114, 30, 0, 9, 17, 28, 5, 35, 0, 3]
19,[78, 55, 59, 92, 54, 148, 12, 167, 18, 0, 57, 0, 93, 88, 19, 0, 6, 24, 6, 106, 5, 60, 94, 5, 69, 99, 33, 1, 68, 19]
