evolutionary_step,[convergence_times]
0,[2, 91, 2, 0, 5, 9, 3, 5, 0, 0, 12, 2, 7, 13, 3, 1, 3, 1, 15, 1, 175, 91, 40, 22, 5, 27, 0, 28, 0, 25]
1,[14, 1, 30, 2, 25, 25, 3, 18, 20, 11, 0, 10, 24, 3, 11, 4, 6, 28, 2, 4, 0, 53, 0, 30, 5, 70, 0, 0, 49, 110]
2,[11, 83, 60, 119, 2, 2, 208, 10, 1, 2, 1, 21, 10, 32, 27, 11, 10, 2, 5, 2, 4, 2, 67, 57, 52, 8, 4, 75, 68, 12]
3,[123, 75, 10, 55, 65, 25, 97, 5, 449, 37, 37, 1, 0, 28, 31, 4, 0, 34, 56, 2, 18, 2, 2, 14, 16, 100000, 11, 2, 2, 74]
4,[19, 28, 65, 25, 43, 24, 28, 4, 69, 8, 0, 2, 3, 25, 25, 9, 33, 2, 49, 5, 23, 5, 1, 35, 17, 2, 72, 0, 26, 172]
5,[2, 238, 2, 50, 58, 7, 2, 180, 1, 0, 7, 2, 15, 72, 70, 0, 2, 30, 4, 45, 7, 4, 26, 26, 21, 19, 3, 9, 2, 29]
6,[0, 1, 26, 57, 9, 2, 27, 26, 15, 454, 36, 11, 1, 1, 49, 1, 34, 37, 8, 122, 47, 43, 16, 3, 2, 4, 42, 2, 15, 30]
7,[3, 4, 25, 5, 4, 2, 2, 3, 520, 25, 13, 1, 10, 4, 24, 28, 2, 24, 128, 149, 5, 3, 16, 2, 5, 18, 8, 21, 35, 1]
8,[27, 2, 1, 2, 160, 37, 16, 4, 2, 178, 70, 26, 2, 17, 13, 10, 105, 16, 26, 3, 28, 19, 28, 7, 2, 5, 34, 2, 27, 19]
9,[6, 0, 9, 10, 10, 3, 542, 18, 82, 13, 33, 28, 2, 100000, 15, 1, 4, 11, 100000, 21, 6, 258, 1, 4, 611, 2, 25, 10, 2, 14]
10,[3, 79, 7, 8, 20, 2, 27, 5, 41, 3, 2, 35, 10, 100000, 51, 100000, 34, 274, 4, 58, 4, 3, 14, 2, 6, 1, 15, 0, 33, 84]
11,[69, 10, 4, 60, 5, 2, 708, 16, 272, 3, 24, 2, 15, 2, 1, 2, 2, 81, 17, 12, 7, 77, 31, 1, 2, 7, 64, 6, 189, 15]
12,[16, 3, 3, 140, 2, 11, 12, 10, 73, 2, 17, 7, 21, 1, 365, 11, 30, 34, 99, 6, 3, 7, 4, 79, 9, 11, 2, 88, 2, 2]
13,[2, 72, 15, 542, 10, 4, 221, 2, 3, 5, 12, 88, 3, 2, 689, 66, 67, 3, 27, 40, 2, 11, 7, 0, 0, 10, 78, 102, 10, 35]
14,[10, 16, 0, 6, 53, 36, 5, 49, 14, 2, 2, 32, 8, 42, 7, 2, 13, 45, 15, 2, 21, 14, 31, 3, 22, 60, 3, 1, 13, 480]
15,[8, 72, 6, 3, 89, 55, 86, 6, 0, 2, 2, 460, 62, 32, 37, 6, 34, 6, 177, 172, 1, 3, 39, 38, 7, 32, 4, 17, 1, 34]
16,[15, 3, 67, 30, 171, 10, 2, 22, 1, 46, 2, 10, 3, 34, 2, 50, 107, 2, 177, 34, 55, 3, 98, 69, 192, 60, 71, 6, 20, 62]
17,[29, 18, 4, 185, 194, 191, 24, 44, 43, 2, 61, 3, 2, 7, 39, 12, 8, 27, 18, 37, 4, 3, 1, 39, 2, 11, 12, 41, 17, 0]
18,[49, 12, 24, 36, 33, 69, 2, 3, 46, 57, 68, 9, 12, 5, 6, 2, 4, 2, 74, 44, 6, 4, 65, 9, 65, 3, 19, 353, 3, 5]
19,[5, 4, 1, 143, 6, 66, 47, 7, 37, 58, 8, 37, 2, 36, 2, 3, 19, 2, 20, 5, 110, 54, 2, 1, 27, 202, 1, 19, 5, 105]
