PARAMS: {'dataset': 'hardness', 'dominant_gene': 1, 'genome_type': 0, 'mutation_p': 30, 'pop_size': 30, 'elitism_portion': 0.2, 'fitness_loss_weight': 150, 'fitness_epoch_count_weight': 0}
evolutionary_step,best_fitness,min_loss,convergence_time,best_genotype
0,0.0005200026207603514,0.0005200026207603514,92,[0.08676691890120938, [8, 8, 2, 5, 3], 4, [0.16580004749643978, 0.07541597477651463, 0.19133384694786848, 0.013052122524848553, 0.018205556663931866], ['relu', 'relu', 'leaky_relu', 'leaky_relu', 'softplus'], 0.9482967115670762]
1,0.0004825641808565706,0.0004825641808565706,15,[0.014702272796705752, [5, 7, 6, 8, 3, 4], 16, [0.48844348869581455, 0.08130747609746519, 0.1501542537366271, 0.20139891025629547, 0.25491228081357575, 0.006131351737483137], ['linear', 'leaky_relu', 'linear', 'linear', 'leaky_relu', 'softplus'], 0.8869427931255172]
2,0.0005136578110978007,0.0005136578110978007,4,[0.12878739919172175, [3, 5], 8, [0.29394613741136466, 0.14628494344641968], ['softplus', 'leaky_relu'], 0.6463357048684433]
3,0.0004917507758364081,0.0004917507758364081,3,[0.04694475513611719, [5, 3], 8, [0.3790803961227031, 0.35272396830070774], ['leaky_relu', 'softplus'], 0.6463357048684433]
4,0.0004867704992648214,0.0004867704992648214,25,[0.04694475513611719, [5, 7], 8, [0.2810529652146713, 0.10760507045565632], ['leaky_relu', 'linear'], 0.9422002343499003]
5,0.0004470689164008945,0.0004470689164008945,72,[0.04694475513611719, [3, 5], 8, [0.05547034305356352, 0.20362098112210347], ['relu', 'relu'], 0.9871608865150929]
6,0.0004904978559352458,0.0004904978559352458,368,[0.12878739919172175, [3, 5], 8, [0.29394613741136466, 0.14628494344641968], ['softplus', 'linear'], 0.9945017901656343]
7,0.00044909713324159384,0.00044909713324159384,23,[0.018488893686320177, [6, 6], 2, [0.2810529652146713, 0.10760507045565632], ['leaky_relu', 'linear'], 0.9422002343499003]
8,0.00044779799645766616,0.00044779799645766616,20,[0.018488893686320177, [6, 6], 2, [0.2810529652146713, 0.10760507045565632], ['leaky_relu', 'linear'], 0.9422002343499003]
9,0.00043660556548275054,0.00043660556548275054,18,[0.018488893686320177, [6, 6], 2, [0.2810529652146713, 0.10760507045565632], ['leaky_relu', 'linear'], 0.9422002343499003]
10,0.0004452437860891223,0.0004452437860891223,20,[0.018488893686320177, [6, 6], 2, [0.2810529652146713, 0.10760507045565632], ['leaky_relu', 'linear'], 0.9422002343499003]
11,0.0004469490668270737,0.0004469490668270737,11,[0.018488893686320177, [4, 5], 2, [0.2810529652146713, 0.10760507045565632], ['leaky_relu', 'linear'], 0.9422002343499003]
12,0.00044829375110566616,0.00044829375110566616,13,[0.018488893686320177, [6, 6], 2, [0.2810529652146713, 0.10760507045565632], ['leaky_relu', 'linear'], 0.9422002343499003]
13,0.00044108659494668245,0.00044108659494668245,12,[0.018488893686320177, [6, 6], 2, [0.2810529652146713, 0.10760507045565632], ['leaky_relu', 'linear'], 0.9422002343499003]
14,0.0004467277030926198,0.0004467277030926198,24,[0.018488893686320177, [4, 5], 2, [0.2810529652146713, 0.10760507045565632], ['leaky_relu', 'linear'], 0.9422002343499003]
15,0.00043958521564491093,0.00043958521564491093,16,[0.018488893686320177, [4, 5], 2, [0.24293267846977668, 0.3419129927676543], ['leaky_relu', 'linear'], 0.9422002343499003]
16,0.000450342136900872,0.000450342136900872,13,[0.018488893686320177, [4, 5], 2, [0.24293267846977668, 0.3419129927676543], ['leaky_relu', 'linear'], 0.9422002343499003]
17,0.00045090861385688186,0.00045090861385688186,12,[0.018488893686320177, [6, 6], 2, [0.316981273729083, 0.027692641517707728], ['leaky_relu', 'linear'], 0.9422002343499003]
18,0.000441878306446597,0.000441878306446597,17,[0.018488893686320177, [4, 5], 2, [0.24293267846977668, 0.3419129927676543], ['leaky_relu', 'linear'], 0.9422002343499003]
19,0.00044386895024217665,0.00044386895024217665,20,[0.018488893686320177, [6, 6], 2, [0.2810529652146713, 0.10760507045565632], ['leaky_relu', 'linear'], 0.9422002343499003]

EVOLUTION ENDED

Optimal genes: [0.018488893686320177, [6, 6], 2, [0.2810529652146713, 0.10760507045565632], ['leaky_relu', 'linear'], 0.9422002343499003]           
Optimal fitness: 0.00043660556548275054                 
