evolutionary_step,[convergence_times]
0,[0, 0, 1, 136, 0, 1, 0, 0, 0, 0, 244, 26, 23, 2, 72, 151, 119, 0, 1, 42, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]
1,[59, 163, 50, 79, 173, 196, 186, 132, 112, 133, 95, 47, 54, 122, 173, 40, 0, 1, 0, 323, 73, 0, 0, 16, 39, 59, 1, 140, 14, 101]
2,[207, 131, 320, 91, 207, 193, 15, 21, 74, 75, 60, 119, 14, 141, 37, 0, 0, 197, 12, 243, 204, 277, 66, 125, 204, 128, 35, 264, 46, 110]
3,[164, 8, 176, 101, 173, 46, 87, 41, 131, 40, 136, 304, 358, 0, 44, 0, 217, 131, 114, 19, 75, 50, 31, 180, 166, 57, 39, 31, 70, 107]
4,[225, 149, 84, 185, 137, 142, 93, 47, 207, 61, 10, 84, 210, 31, 36, 0, 36, 29, 88, 42, 86, 258, 143, 61, 34, 146, 119, 137, 69, 38]
5,[145, 115, 76, 69, 198, 212, 139, 115, 306, 211, 32, 47, 76, 82, 147, 125, 21, 21, 95, 0, 98, 29, 243, 0, 105, 1, 13, 79, 0, 160]
6,[149, 134, 111, 105, 107, 191, 141, 92, 172, 44, 0, 33, 77, 48, 64, 87, 0, 231, 189, 47, 175, 38, 15, 73, 0, 34, 73, 10, 28, 31]
7,[126, 159, 263, 122, 58, 204, 17, 74, 214, 46, 137, 18, 137, 0, 93, 13, 116, 109, 154, 95, 35, 38, 244, 0, 144, 33, 145, 60, 76, 38]
8,[119, 143, 42, 107, 29, 33, 147, 68, 230, 26, 27, 179, 181, 0, 241, 102, 132, 11, 0, 36, 29, 123, 193, 118, 0, 25, 0, 0, 105, 80]
9,[210, 121, 153, 206, 30, 130, 17, 33, 245, 82, 0, 62, 33, 80, 108, 107, 147, 0, 251, 136, 72, 63, 132, 158, 61, 294, 176, 158, 25, 188]
10,[84, 308, 114, 79, 37, 168, 0, 69, 151, 12, 15, 95, 252, 82, 35, 100, 84, 149, 144, 2, 83, 129, 27, 76, 0, 101, 211, 144, 70, 8]
11,[241, 123, 94, 128, 52, 173, 180, 46, 114, 244, 26, 30, 69, 0, 112, 111, 113, 148, 79, 268, 93, 163, 76, 107, 210, 172, 47, 0, 44, 183]
12,[59, 68, 356, 125, 123, 282, 247, 122, 0, 156, 125, 33, 16, 38, 78, 25, 326, 66, 126, 105, 0, 81, 0, 151, 1, 93, 224, 0, 32, 129]
13,[253, 125, 78, 189, 98, 167, 113, 84, 211, 157, 91, 26, 27, 1, 55, 88, 0, 118, 28, 59, 46, 200, 116, 127, 188, 65, 28, 68, 169, 299]
14,[79, 119, 69, 196, 71, 101, 0, 97, 52, 97, 33, 34, 95, 183, 215, 0, 53, 0, 164, 142, 85, 189, 0, 193, 25, 137, 76, 147, 278, 0]
15,[149, 97, 186, 19, 118, 125, 192, 0, 0, 58, 0, 85, 88, 57, 153, 130, 124, 98, 83, 174, 0, 79, 67, 185, 114, 114, 335, 124, 41, 101]
16,[147, 43, 82, 67, 132, 167, 2, 23, 79, 51, 98, 0, 65, 184, 67, 112, 92, 68, 71, 90, 150, 128, 57, 32, 61, 154, 78, 0, 35, 242]
17,[82, 127, 152, 212, 53, 224, 128, 37, 116, 62, 0, 35, 64, 52, 5, 100, 126, 138, 79, 94, 76, 70, 87, 60, 14, 22, 122, 277, 36, 0]
18,[108, 84, 112, 220, 120, 36, 44, 0, 113, 58, 22, 41, 0, 109, 37, 0, 119, 88, 57, 136, 114, 99, 221, 65, 63, 172, 77, 28, 72, 126]
19,[113, 168, 97, 28, 144, 157, 0, 43, 68, 85, 81, 105, 121, 134, 119, 7, 0, 200, 28, 11, 0, 173, 114, 106, 113, 62, 105, 205, 112, 31]
