evolutionary_step,[convergence_times]
0,[3, 7, 2, 21, 5, 0, 18, 1, 4, 76, 15, 18, 0, 12, 170, 10, 15, 27, 25, 0, 6, 1, 48, 29, 0, 3, 7, 100000, 3, 3]
1,[2, 3, 2, 5, 13, 51, 75, 29, 11, 56, 1, 12, 3, 100000, 54, 5, 26, 2, 10, 2, 100000, 6, 32, 30, 39, 25, 31, 23, 3, 26]
2,[3, 2, 10, 8, 15, 27, 26, 0, 25, 3, 172, 2, 31, 27, 25, 21, 0, 14, 2, 57, 3, 0, 2, 3, 38, 3, 24, 10, 41, 38]
3,[1, 3, 2, 7, 19, 15, 56, 8, 0, 4, 107, 27, 5, 1, 7, 29, 17, 27, 4, 20, 7, 1, 35, 6, 4, 16, 19, 4, 26, 9]
4,[1, 11, 11, 6, 14, 27, 1, 51, 2, 14, 25, 4, 28, 5, 4, 4, 109, 12, 62, 61, 1, 42, 10, 100000, 7, 28, 24, 53, 35, 4]
5,[3, 3, 13, 5, 17, 7, 6, 35, 2, 19, 68, 100000, 56, 26, 21, 100000, 6, 37, 7, 60, 3, 10, 57, 12, 8, 58, 26, 47, 46, 1]
6,[18, 12, 12, 15, 38, 24, 14, 26, 9, 4, 2, 42, 29, 72, 18, 23, 6, 2, 9, 3, 4, 30, 12, 2, 4, 8, 9, 4, 216, 3]
7,[9, 8, 20, 65, 40, 6, 4, 4, 72, 8, 4, 41, 20, 34, 16, 69, 17, 26, 4, 2, 30, 5, 74, 17, 11, 7, 19, 79, 31, 35]
8,[9, 8, 3, 38, 18, 4, 0, 15, 50, 13, 28, 5, 12, 17, 10, 0, 85, 31, 17, 7, 21, 22, 5, 14, 10, 7, 11, 8, 5, 17]
9,[30, 23, 32, 27, 19, 73, 4, 10, 6, 8, 5, 1, 14, 19, 2, 52, 15, 8, 35, 2, 5, 22, 5, 20, 180, 10, 5, 2, 8, 3]
10,[13, 3, 4, 47, 12, 30, 4, 24, 56, 21, 6, 1, 155, 4, 12, 4, 32, 32, 47, 12, 0, 0, 3, 100000, 6, 77, 5, 22, 4, 3]
11,[34, 17, 46, 5, 40, 23, 6, 2, 3, 39, 6, 18, 2, 18, 7, 100000, 4, 27, 27, 19, 176, 1, 14, 6, 2, 6, 4, 32, 13, 8]
12,[32, 21, 31, 77, 3, 25, 1, 7, 8, 41, 3, 5, 59, 30, 84, 3, 24, 3, 9, 0, 3, 22, 2, 1, 164, 26, 18, 15, 2, 16]
13,[32, 17, 5, 4, 2, 17, 19, 3, 3, 26, 26, 67, 8, 31, 3, 3, 11, 71, 19, 15, 6, 19, 5, 7, 17, 5, 11, 11, 7, 18]
14,[29, 19, 45, 0, 37, 2, 2, 3, 1, 2, 2, 25, 100, 2, 40, 79, 24, 17, 71, 5, 4, 5, 20, 22, 5, 4, 29, 26, 20, 28]
15,[74, 29, 59, 92, 71, 3, 2, 206, 7, 32, 6, 11, 14, 493, 29, 22, 4, 68, 5, 11, 8, 6, 10, 9, 6, 24, 28, 2, 29, 48]
16,[0, 138, 58, 65, 43, 1, 82, 26, 73, 19, 2, 6, 4, 5, 2, 0, 0, 10, 28, 23, 104, 16, 1, 4, 5, 12, 153, 2, 18, 40]
17,[191, 10, 1, 26, 23, 2, 30, 8, 40, 1, 4, 10, 5, 2, 26, 1, 12, 2, 112, 32, 6, 6, 9, 2, 31, 24, 7, 9, 56, 10]
18,[5, 14, 0, 2, 32, 49, 0, 28, 4, 17, 18, 2, 6, 32, 3, 1, 517, 43, 52, 2, 3, 11, 41, 12, 55, 338, 2, 13, 2, 5]
19,[34, 37, 55, 114, 10, 12, 52, 4, 17, 26, 112, 33, 3, 20, 42, 26, 25, 9, 48, 27, 15, 2, 7, 10, 30, 18, 3, 59, 26, 15]
