PARAMS: {'dataset': 'housing', 'dominant_gene': 1, 'genome_type': 0, 'mutation_p': 10, 'pop_size': 10, 'elitism_portion': 0.2, 'fitness_loss_weight': 150, 'fitness_epoch_count_weight': 0}
evolutionary_step,best_fitness,min_loss,convergence_time,best_genotype
17,0.0010833627311512828,0.0010833627311512828,13,[0.045473812587393504, [8, 2, 7, 7, 3, 3, 3], 16, [0.365108823285724, 0.2948385683919712, 0.02290612725194635, 0.07486609583349668, 0.0023279470370358157, 0.005944693995396488, 0.11973579176657179], ['relu', 'linear', 'leaky_relu', 'relu', 'leaky_relu', 'leaky_relu', 'softplus'], 0.9641194677301059]
18,0.0011301663471385837,0.0011301663471385837,108,[0.045473812587393504, [7, 6, 5, 5, 4, 2, 4], 64, [0.0560899136382626, 0.3710519602421624, 0.1469371929419105, 0.2603994002251909, 0.25807471578108343, 0.25807471578108343, 0.25807471578108343], ['softplus', 'linear', 'softplus', 'linear', 'linear', 'linear', 'softplus'], 0.9641194677301059]
19,0.0010905388044193387,0.0010905388044193387,2,[0.045473812587393504, [7, 6, 5, 5, 4, 2, 4], 64, [0.0560899136382626, 0.3710519602421624, 0.1469371929419105, 0.2603994002251909, 0.25807471578108343, 0.25807471578108343, 0.25807471578108343], ['softplus', 'linear', 'softplus', 'linear', 'linear', 'linear', 'softplus'], 0.9641194677301059]
20,0.0010017143795266747,0.0010017143795266747,4,[0.045473812587393504, [7, 6, 5, 5, 4, 2, 4], 64, [0.0560899136382626, 0.3710519602421624, 0.1469371929419105, 0.2603994002251909, 0.25807471578108343, 0.25807471578108343, 0.25807471578108343], ['linear', 'leaky_relu', 'linear', 'linear', 'relu', 'linear', 'relu'], 0.8936134084938427]
21,0.0007082438096404076,0.0007082438096404076,11,[0.045473812587393504, [7, 6, 5, 5, 4, 2, 4], 64, [0.365108823285724, 0.2948385683919712, 0.02290612725194635, 0.07486609583349668, 0.0023279470370358157, 0.005944693995396488, 0.11973579176657179], ['relu', 'linear', 'leaky_relu', 'relu', 'leaky_relu', 'leaky_relu', 'softplus'], 0.9641194677301059]
22,0.0004672978539019823,0.0004672978539019823,3,[0.045473812587393504, [7, 6, 5, 5, 4, 2, 4], 64, [0.0560899136382626, 0.3710519602421624, 0.1469371929419105, 0.2603994002251909, 0.25807471578108343, 0.25807471578108343, 0.25807471578108343], ['linear', 'leaky_relu', 'linear', 'linear', 'relu', 'linear', 'relu'], 0.8936134084938427]
23,0.0009588822722434998,0.0009588822722434998,10,[0.045473812587393504, [7, 6, 5, 5, 4, 2, 4], 64, [0.0560899136382626, 0.3710519602421624, 0.1469371929419105, 0.2603994002251909, 0.25807471578108343, 0.25807471578108343, 0.25807471578108343], ['linear', 'leaky_relu', 'linear', 'linear', 'relu', 'linear', 'relu'], 0.8936134084938427]
24,0.0011054414790123701,0.0011054414790123701,13,[0.045473812587393504, [7, 6, 5, 5, 4, 2, 4], 8, [0.365108823285724, 0.2948385683919712, 0.02290612725194635, 0.07486609583349668, 0.0023279470370358157, 0.005944693995396488, 0.11973579176657179], ['relu', 'linear', 'leaky_relu', 'relu', 'leaky_relu', 'leaky_relu', 'softplus'], 0.8712855543543149]
25,0.0010801986791193485,0.0010801986791193485,32,[0.045473812587393504, [7, 6, 5, 5, 4, 2, 4], 64, [0.0560899136382626, 0.3710519602421624, 0.1469371929419105, 0.2603994002251909, 0.25807471578108343, 0.25807471578108343, 0.25807471578108343], ['linear', 'leaky_relu', 'linear', 'linear', 'relu', 'linear', 'relu'], 0.8936134084938427]
26,0.0009220014908351004,0.0009220014908351004,4,[0.045473812587393504, [7, 6, 5, 5, 4, 2, 4], 64, [0.0560899136382626, 0.3710519602421624, 0.1469371929419105, 0.2603994002251909, 0.25807471578108343, 0.25807471578108343, 0.25807471578108343], ['linear', 'leaky_relu', 'linear', 'linear', 'relu', 'linear', 'relu'], 0.8936134084938427]
