evolutionary_step,[convergence_times]
0,[57, 2, 1, 0, 3, 60, 3, 4, 21, 32, 0, 1, 2, 49, 34, 18, 7, 30, 24, 28, 6, 6, 0, 100000, 0, 100000, 0, 61, 2, 2, 38, 3, 21, 4, 1, 77, 1, 2, 0, 88, 37, 5, 32, 26, 51, 15, 50, 13, 16, 9, 25, 2, 6, 10, 60, 9, 5, 16, 13, 42, 3, 8, 3, 6, 5, 25, 7, 1, 29, 11, 23, 50, 0, 42, 111, 136, 6, 29, 0, 52, 8, 1, 1, 1, 2, 26, 7, 7, 32, 406, 89, 11, 44, 0, 15, 1, 0, 0, 6, 79, 2, 2, 0, 1, 0, 32, 39, 2, 26, 100000, 2, 5, 62, 2, 5, 3, 0, 35, 9, 5, 4, 100000, 4, 30, 53, 2, 2, 37, 4, 77, 18, 3, 2, 33, 13, 22, 8, 113, 27, 23, 30, 1, 7, 2, 3, 36, 100000, 0, 38, 4, 0, 14, 4, 0, 3, 5, 1, 100000, 4, 10, 3, 2, 4, 2, 1, 11, 0, 3, 6, 5, 27, 29, 3, 3, 15, 1, 24, 7, 100000, 7, 3, 5, 21, 13, 71, 1, 14, 4, 5, 9, 11, 6, 27, 4, 19, 2, 5, 0, 0, 8]
1,[22, 14, 42, 1, 9, 2, 8, 79, 7, 2, 0, 12, 11, 6, 13, 1, 1, 32, 15, 5, 19, 10, 93, 48, 1, 26, 93, 3, 10, 1, 35, 1, 75, 48, 1, 5, 75, 5, 76, 34, 2, 6, 6, 25, 24, 0, 0, 1, 100000, 5, 1, 0, 2, 13, 5, 5, 55, 3, 12, 34, 12, 9, 4, 3, 2, 25, 2, 47, 30, 24, 15, 27, 2, 4, 2, 5, 9, 30, 8, 9, 19, 204, 7, 100000, 12, 62, 18, 27, 60, 5, 8, 9, 9, 1, 7, 43, 100000, 347, 1, 14, 3, 0, 6, 3, 6, 6, 10, 6, 15, 3, 4, 13, 50, 11, 13, 2, 2, 94, 13, 1, 1, 13, 26, 11, 9, 61, 49, 7, 85, 24, 4, 4, 3, 1, 3, 4, 94, 1, 6, 12, 2, 7, 0, 1, 7, 7, 7, 13, 5, 62, 0, 10, 4, 11, 24, 75, 27, 17, 37, 30, 100000, 29, 1, 100000, 339, 0, 5, 2, 2, 2, 1, 3, 5, 7, 0, 2, 4, 18, 13, 25, 3, 43, 138, 262, 0, 7, 3, 1, 1, 100000, 0, 25, 15, 3, 461, 27, 8, 204, 4, 3]
2,[3, 85, 29, 1, 117, 71, 4, 2, 22, 19, 4, 16, 8, 9, 3, 3, 240, 168, 5, 77, 8, 5, 3, 2, 2, 203, 25, 95, 100, 16, 22, 54, 6, 21, 4, 22, 75, 193, 8, 9, 4, 1, 100000, 4, 0, 3, 5, 7, 4, 30, 25, 3, 18, 1, 5, 9, 5, 20, 10, 6, 16, 2, 3, 2, 9, 19, 0, 34, 324, 27, 10, 17, 3, 116, 13, 44, 24, 2, 4, 2, 14, 117, 0, 7, 1, 26, 4, 1, 8, 97, 4, 187, 36, 3, 0, 7, 1, 1, 3, 1, 3, 64, 52, 9, 34, 9, 24, 65, 7, 100000, 46, 29, 19, 1, 13, 26, 2, 9, 14, 22, 1, 3, 26, 100000, 26, 4, 4, 0, 61, 17, 15, 6, 9, 3, 51, 175, 1, 1, 1, 3, 32, 30, 1, 50, 13, 0, 52, 100000, 19, 4, 4, 8, 2, 5, 0, 6, 7, 0, 42, 23, 46, 3, 26, 33, 63, 0, 42, 4, 34, 3, 37, 13, 35, 2, 9, 112, 4, 25, 56, 0, 3, 100000, 3, 3, 15, 100000, 0, 20, 48, 45, 16, 13, 14, 4, 100000, 1, 8, 42, 1, 0]
3,[12, 11, 34, 15, 39, 127, 74, 11, 5, 62, 92, 1, 87, 10, 21, 103, 2, 3, 30, 40, 1, 2, 176, 1, 9, 1, 11, 17, 3, 3, 0, 217, 24, 8, 79, 54, 4, 18, 77, 20, 15, 3, 56, 5, 15, 7, 4, 19, 20, 0, 4, 85, 100000, 90, 2, 3, 81, 22, 3, 0, 8, 6, 25, 7, 2, 5, 5, 39, 1, 14, 4, 17, 100000, 85, 100000, 0, 7, 1, 60, 1, 43, 21, 2, 43, 17, 27, 7, 12, 27, 16, 0, 100000, 6, 8, 100000, 4, 13, 2, 5, 4, 7, 2, 54, 18, 3, 4, 3, 4, 12, 0, 33, 5, 37, 3, 1, 28, 6, 97, 213, 0, 0, 43, 248, 23, 6, 3, 13, 70, 5, 100000, 11, 13, 5, 3, 8, 26, 9, 25, 69, 25, 7, 29, 4, 2, 31, 6, 3, 17, 4, 7, 20, 25, 15, 5, 12, 2, 9, 47, 17, 100000, 100000, 3, 63, 11, 16, 24, 0, 0, 27, 15, 25, 3, 21, 1, 7, 34, 0, 1, 4, 0, 52, 20, 73, 55, 4, 0, 22, 16, 26, 0, 3, 41, 6, 1, 16, 7, 1, 13, 3, 4]
4,[3, 4, 28, 132, 27, 167, 123, 2, 27, 44, 8, 167, 10, 47, 67, 23, 18, 4, 2, 9, 22, 34, 4, 38, 8, 26, 19, 13, 7, 40, 7, 83, 19, 1, 47, 43, 47, 52, 23, 14, 28, 8, 0, 1, 6, 78, 27, 167, 0, 6, 66, 2, 1, 27, 33, 9, 46, 12, 14, 11, 1, 3, 35, 12, 7, 2, 4, 155, 1, 2, 1, 1, 24, 1, 173, 3, 2, 7, 0, 23, 0, 94, 9, 28, 1, 15, 5, 68, 16, 6, 0, 12, 602, 1, 56, 21, 0, 2, 5, 6, 6, 0, 2, 0, 8, 2, 11, 13, 13, 8, 33, 100000, 25, 100000, 5, 6, 4, 20, 13, 28, 157, 3, 0, 63, 0, 2, 0, 10, 17, 13, 24, 23, 6, 30, 20, 5, 10, 46, 11, 4, 18, 17, 35, 23, 100000, 101, 36, 3, 18, 13, 19, 3, 8, 4, 24, 0, 7, 4, 106, 23, 3, 81, 23, 2, 0, 100000, 26, 3, 7, 5, 58, 6, 0, 197, 0, 37, 13, 27, 2, 13, 9, 25, 2, 1, 7, 156, 23, 2, 10, 11, 0, 64, 128, 21, 87, 2, 100000, 11, 39, 3]
