PARAMS: {'dataset': 'hardness', 'dominant_gene': 1, 'genome_type': 0, 'mutation_p': 10, 'pop_size': 10, 'elitism_portion': 0.2, 'fitness_loss_weight': 150, 'fitness_epoch_count_weight': 0}
evolutionary_step,best_fitness,min_loss,convergence_time,best_genotype
29,0.0005035396898165345,0.0005035396898165345,22,[0.025567716438653215, [5, 7, 5], 2, [0.4676527301627092, 0.28602709666359255, 0.01822099629578655], ['relu', 'linear', 'relu'], 0.9625812823432778]
30,0.0005424150149337947,0.0005424150149337947,15,[0.025567716438653215, [3, 6, 7], 2, [0.1360079610231324, 0.2862898708396937, 0.27455841490625926], ['relu', 'softplus', 'softplus'], 0.812853524154723]
31,0.0004535139014478773,0.0004535139014478773,47,[0.025567716438653215, [3, 6, 7], 2, [0.4676527301627092, 0.28602709666359255, 0.01822099629578655], ['linear', 'linear', 'leaky_relu'], 0.9625812823432778]
32,0.00044039348722435534,0.00044039348722435534,33,[0.025567716438653215, [3, 6, 7], 2, [0.15317213396446072, 0.03080165388485301, 0.09814458341810339], ['linear', 'linear', 'leaky_relu'], 0.9625812823432778]
33,0.00044598220847547054,0.00044598220847547054,34,[0.025567716438653215, [3, 6, 7], 2, [0.15317213396446072, 0.03080165388485301, 0.09814458341810339], ['linear', 'linear', 'leaky_relu'], 0.9625812823432778]
34,0.00043757737148553133,0.00043757737148553133,19,[0.025567716438653215, [6, 6, 4], 2, [0.3441152908661341, 0.10193273575226225, 0.022330949580810444], ['relu', 'softplus', 'softplus'], 0.958534030340467]
35,0.0004470938292797655,0.0004470938292797655,16,[0.025567716438653215, [6, 6, 4], 2, [0.3441152908661341, 0.10193273575226225, 0.022330949580810444], ['relu', 'softplus', 'softplus'], 0.958534030340467]
36,0.0004461421340238303,0.0004461421340238303,51,[0.025567716438653215, [3, 6, 7], 2, [0.15317213396446072, 0.03080165388485301, 0.09814458341810339], ['linear', 'linear', 'leaky_relu'], 0.9625812823432778]
37,0.0004364519554655999,0.0004364519554655999,33,[0.025567716438653215, [6, 6, 4], 2, [0.15317213396446072, 0.03080165388485301, 0.09814458341810339], ['leaky_relu', 'softplus', 'leaky_relu'], 0.9625812823432778]
38,0.000437241920735687,0.000437241920735687,31,[0.025567716438653215, [6, 6, 4], 2, [0.15317213396446072, 0.03080165388485301, 0.09814458341810339], ['leaky_relu', 'softplus', 'leaky_relu'], 0.9625812823432778]
39,0.0004382519400678575,0.0004382519400678575,32,[0.025567716438653215, [6, 6, 4], 2, [0.15317213396446072, 0.03080165388485301, 0.09814458341810339], ['leaky_relu', 'softplus', 'leaky_relu'], 0.9625812823432778]
40,0.00043914539855904877,0.00043914539855904877,28,[0.025567716438653215, [6, 6, 4], 2, [0.15317213396446072, 0.03080165388485301, 0.09814458341810339], ['leaky_relu', 'softplus', 'leaky_relu'], 0.9625812823432778]
41,0.0004382860497571528,0.0004382860497571528,23,[0.025567716438653215, [6, 6, 4], 2, [0.15317213396446072, 0.03080165388485301, 0.09814458341810339], ['leaky_relu', 'softplus', 'leaky_relu'], 0.9625812823432778]
42,0.0004372894763946533,0.0004372894763946533,28,[0.025567716438653215, [6, 6, 4], 2, [0.15317213396446072, 0.03080165388485301, 0.09814458341810339], ['leaky_relu', 'softplus', 'leaky_relu'], 0.9625812823432778]
43,0.0004406329244375229,0.0004406329244375229,32,[0.025567716438653215, [6, 6, 4], 2, [0.15317213396446072, 0.03080165388485301, 0.09814458341810339], ['leaky_relu', 'softplus', 'leaky_relu'], 0.9625812823432778]
44,0.00043887487845495343,0.00043887487845495343,29,[0.025567716438653215, [6, 6, 4], 2, [0.15317213396446072, 0.03080165388485301, 0.09814458341810339], ['leaky_relu', 'softplus', 'leaky_relu'], 0.9625812823432778]
45,0.0004385297652333975,0.0004385297652333975,33,[0.025567716438653215, [6, 6, 4], 2, [0.15317213396446072, 0.03080165388485301, 0.09814458341810339], ['leaky_relu', 'softplus', 'leaky_relu'], 0.9625812823432778]
46,0.00043284244020469487,0.00043284244020469487,32,[0.025567716438653215, [2, 6, 5], 2, [0.15317213396446072, 0.03080165388485301, 0.09814458341810339], ['linear', 'relu', 'leaky_relu'], 0.9625812823432778]
47,0.00043731354526244104,0.00043731354526244104,34,[0.025567716438653215, [6, 6, 4], 2, [0.15317213396446072, 0.03080165388485301, 0.09814458341810339], ['leaky_relu', 'softplus', 'leaky_relu'], 0.9625812823432778]
48,0.00043759122490882874,0.00043759122490882874,37,[0.025567716438653215, [2, 6, 5], 2, [0.15317213396446072, 0.03080165388485301, 0.09814458341810339], ['linear', 'relu', 'leaky_relu'], 0.9625812823432778]
49,0.0004341545864008367,0.0004341545864008367,32,[0.025567716438653215, [2, 6, 5], 2, [0.15317213396446072, 0.03080165388485301, 0.09814458341810339], ['linear', 'relu', 'leaky_relu'], 0.9625812823432778]
50,0.0004357207508292049,0.0004357207508292049,25,[0.025567716438653215, [6, 6, 4], 2, [0.32820845052199044, 0.026908263524355602, 0.2589205063491347], ['leaky_relu', 'softplus', 'leaky_relu'], 0.9625812823432778]
51,0.0004440329212229699,0.0004440329212229699,32,[0.025567716438653215, [6, 6, 4], 2, [0.32820845052199044, 0.026908263524355602, 0.2589205063491347], ['leaky_relu', 'softplus', 'leaky_relu'], 0.9625812823432778]
52,0.0004361863830126822,0.0004361863830126822,37,[0.025567716438653215, [2, 6, 5], 2, [0.15317213396446072, 0.03080165388485301, 0.09814458341810339], ['linear', 'relu', 'leaky_relu'], 0.9625812823432778]
53,0.0004409407847560942,0.0004409407847560942,37,[0.025567716438653215, [3, 6, 3], 2, [0.15317213396446072, 0.03080165388485301, 0.09814458341810339], ['linear', 'relu', 'leaky_relu'], 0.9625812823432778]
54,0.00043541609193198383,0.00043541609193198383,33,[0.025567716438653215, [2, 6, 5], 2, [0.15317213396446072, 0.03080165388485301, 0.09814458341810339], ['linear', 'relu', 'leaky_relu'], 0.9625812823432778]
55,0.00043468913645483553,0.00043468913645483553,31,[0.025567716438653215, [3, 7, 3], 2, [0.15317213396446072, 0.03080165388485301, 0.09814458341810339], ['linear', 'relu', 'leaky_relu'], 0.9625812823432778]
56,0.00043638519127853215,0.00043638519127853215,29,[0.025567716438653215, [6, 6, 2], 2, [0.15317213396446072, 0.03080165388485301, 0.09814458341810339], ['linear', 'relu', 'leaky_relu'], 0.9625812823432778]
57,0.0004307162598706782,0.0004307162598706782,32,[0.025567716438653215, [4, 7, 2], 2, [0.15317213396446072, 0.03080165388485301, 0.09814458341810339], ['linear', 'relu', 'leaky_relu'], 0.9625812823432778]
58,0.0004344233893789351,0.0004344233893789351,30,[0.025567716438653215, [4, 7, 2], 2, [0.15317213396446072, 0.03080165388485301, 0.09814458341810339], ['linear', 'relu', 'leaky_relu'], 0.9625812823432778]
59,0.0004373041447252035,0.0004373041447252035,33,[0.025567716438653215, [4, 7, 2], 2, [0.15317213396446072, 0.03080165388485301, 0.09814458341810339], ['linear', 'relu', 'leaky_relu'], 0.9625812823432778]
60,0.0004332535609137267,0.0004332535609137267,7,[0.025567716438653215, [4, 7, 2], 4, [0.15317213396446072, 0.03080165388485301, 0.09814458341810339], ['linear', 'relu', 'leaky_relu'], 0.9625812823432778]
