evolutionary_step,[convergence_times]
0,[15, 6, 2, 22, 3, 2, 27, 2, 1, 18, 8, 1, 4, 3, 36, 5, 20, 14, 10, 13, 25, 32, 80, 208, 0, 20, 11, 100000, 0, 10]
1,[74, 36, 37, 2, 6, 6, 1, 0, 28, 9, 39, 79, 14, 6, 8, 0, 3, 21, 6, 35, 3, 19, 10, 5, 23, 19, 4, 0, 5, 50]
2,[51, 6, 27, 10, 189, 72, 17, 6, 30, 19, 9, 269, 463, 63, 26, 66, 3, 6, 5, 65, 7, 4, 12, 7, 9, 1, 21, 36, 77, 3]
3,[508, 11, 45, 6, 269, 53, 13, 51, 54, 4, 15, 6, 29, 2, 71, 20, 233, 2, 67, 269, 39, 1, 35, 26, 53, 217, 2, 8, 31, 34]
4,[0, 39, 0, 8, 33, 54, 47, 11, 18, 10, 43, 268, 23, 0, 53, 3, 7, 13, 2, 43, 55, 40, 2, 5, 56, 0, 324, 4, 3, 1]
5,[1, 19, 14, 4, 36, 1, 7, 0, 13, 54, 34, 125, 46, 34, 25, 1, 4, 2, 4, 13, 2, 3, 2, 20, 12, 8, 62, 29, 2, 56]
6,[101, 29, 3, 30, 6, 17, 8, 57, 139, 52, 8, 9, 7, 7, 7, 6, 5, 35, 13, 2, 10, 44, 46, 3, 125, 31, 49, 100000, 66, 2]
7,[4, 32, 15, 49, 15, 9, 14, 394, 44, 6, 7, 10, 22, 40, 2, 71, 7, 4, 21, 27, 19, 74, 48, 7, 155, 60, 54, 27, 40, 12]
8,[7, 3, 18, 2, 35, 102, 52, 30, 26, 30, 73, 36, 39, 37, 31, 16, 7, 12, 3, 23, 11, 4, 28, 34, 57, 64, 1, 55, 53, 5]
9,[18, 2, 5, 35, 79, 33, 68, 11, 17, 4, 40, 34, 17, 2, 14, 29, 4, 152, 14, 14, 16, 7, 41, 27, 6, 17, 3, 8, 3, 20]
10,[98, 13, 51, 47, 8, 77, 6, 15, 39, 26, 44, 4, 96, 9, 51, 2, 22, 55, 10, 1, 1, 54, 60, 85, 22, 10, 12, 2, 17, 7]
11,[17, 28, 4, 39, 19, 18, 42, 26, 29, 24, 32, 3, 5, 217, 65, 44, 2, 8, 16, 192, 5, 68, 6, 13, 58, 23, 15, 12, 11, 2]
12,[32, 18, 34, 4, 49, 17, 24, 29, 61, 88, 60, 73, 5, 29, 9, 13, 0, 40, 2, 25, 10, 1, 3, 42, 1, 52, 23, 6, 284, 4]
13,[38, 34, 52, 2, 13, 18, 16, 13, 285, 32, 21, 15, 39, 9, 52, 12, 116, 6, 82, 17, 81, 64, 80, 10, 3, 3, 25, 2, 24, 36]
14,[31, 41, 25, 2, 25, 146, 36, 13, 23, 54, 4, 12, 13, 6, 44, 11, 71, 2, 44, 9, 80, 23, 43, 37, 166, 47, 1, 94, 15, 12]
15,[68, 35, 13, 27, 999, 72, 73, 23, 22, 9, 5, 39, 31, 14, 96, 55, 157, 100, 13, 28, 136, 34, 182, 3, 77, 1, 59, 47, 20, 8]
16,[11, 6, 48, 124, 7, 51, 130, 21, 57, 18, 7, 10, 11, 60, 2, 22, 64, 64, 17, 442, 3, 125, 304, 12, 24, 16, 39, 2, 23, 408]
17,[124, 10, 5, 40, 6, 47, 16, 10, 47, 16, 49, 10, 70, 9, 5, 23, 5, 93, 15, 84, 16, 3, 42, 1, 33, 76, 8, 24, 21, 14]
18,[14, 102, 44, 3, 17, 50, 1, 106, 22, 15, 0, 8, 2, 41, 14, 9, 1, 1, 44, 26, 27, 12, 45, 7, 30, 41, 68, 1, 55, 99]
19,[55, 48, 33, 4, 4, 7, 45, 44, 0, 1, 11, 61, 7, 16, 40, 23, 0, 13, 156, 10, 4, 7, 6, 96, 31, 46, 175, 14, 5, 133]
