PARAMS: {'dataset': 'housing', 'dominant_gene': 1, 'genome_type': 0, 'mutation_p': 10, 'pop_size': 10, 'elitism_portion': 0.2, 'fitness_loss_weight': 150, 'fitness_epoch_count_weight': 0}
evolutionary_step,best_fitness,min_loss,convergence_time,best_genotype
36,0.0005565567989833653,0.0005565567989833653,36,[0.08914723770286458, [7], 8, [0.009163946633260756], ['leaky_relu'], 0.8912067270523761]
37,0.0004939025384373963,0.0004939025384373963,38,[0.08914723770286458, [7], 128, [0.009163946633260756], ['leaky_relu'], 0.973684025145982]
38,0.0005838422221131623,0.0005838422221131623,48,[0.08914723770286458, [7], 128, [0.009163946633260756], ['leaky_relu'], 0.973684025145982]
39,0.0005394656909629703,0.0005394656909629703,125,[0.08914723770286458, [7], 8, [0.009163946633260756], ['leaky_relu'], 0.8912067270523761]
40,0.0005313499132171273,0.0005313499132171273,66,[0.08914723770286458, [7], 8, [0.009163946633260756], ['leaky_relu'], 0.8912067270523761]

EVOLUTION ENDED

Optimal genes: [0.08914723770286458, [7], 8, [0.11924210546490333], ['linear'], 0.9348593847388675]           
Optimal fitness: 0.0004725769686046988                 
