evolutionary_step,[convergence_times]
0,[1, 3, 0, 1, 0, 0, 3, 0, 0, 0, 1, 9, 0, 0, 0, 2, 1, 4, 0, 7, 0, 8, 0, 0, 0, 0, 8, 0, 0, 0]
1,[0, 11, 0, 3, 18, 0, 7, 1, 0, 23, 5, 1, 2, 4, 21, 11, 10, 0, 16, 21, 1, 6, 4, 13, 0, 0, 0, 1, 11, 0]
2,[24, 12, 1, 14, 3, 0, 0, 7, 5, 0, 2, 0, 0, 3, 0, 18, 7, 21, 46, 12, 10, 12, 6, 4, 6, 0, 3, 0, 10, 5]
3,[11, 7, 5, 16, 3, 8, 14, 0, 0, 3, 9, 1, 7, 8, 3, 30, 0, 7, 15, 17, 15, 8, 13, 7, 7, 11, 10, 98, 29, 0]
4,[8, 13, 4, 14, 13, 10, 3, 14, 11, 3, 1, 15, 0, 3, 7, 2, 2, 0, 4, 18, 11, 5, 7, 30, 9, 19, 0, 2, 22, 21]
5,[19, 17, 14, 19, 8, 181, 0, 6, 21, 3, 14, 9, 0, 53, 25, 4, 14, 3, 1, 5, 0, 3, 42, 6, 6, 6, 5, 0, 16, 12]
6,[36, 22, 6, 13, 6, 61, 3, 10, 5, 4, 0, 3, 6, 6, 3, 7, 7, 9, 20, 12, 92, 11, 4, 0, 1, 9, 0, 11, 6, 99]
7,[4, 52, 17, 6, 38, 101, 157, 14, 8, 103, 7, 0, 0, 4, 4, 14, 10, 4, 3, 10, 7, 0, 0, 2, 20, 42, 1, 6, 3, 0]
8,[8, 51, 5, 67, 61, 70, 0, 7, 13, 19, 4, 0, 11, 121, 7, 6, 12, 22, 0, 19, 39, 0, 7, 21, 10, 12, 2, 3, 0, 8]
9,[99, 6, 5, 127, 37, 102, 30, 21, 5, 11, 6, 8, 13, 4, 162, 15, 51, 8, 9, 14, 7, 4, 0, 132, 1, 7, 5, 150, 0, 0]
10,[74, 32, 24, 96, 24, 48, 123, 3, 37, 4, 5, 4, 229, 94, 48, 17, 4, 6, 115, 0, 8, 4, 0, 60, 68, 0, 10, 0, 31, 33]
11,[59, 241, 16, 145, 28, 184, 8, 61, 7, 88, 3, 12, 0, 36, 3, 248, 44, 0, 105, 108, 81, 0, 29, 5, 3, 0, 83, 6, 69, 0]
12,[47, 62, 58, 71, 82, 8, 0, 1, 14, 3, 44, 85, 46, 90, 3, 97, 6, 275, 36, 293, 12, 11, 48, 9, 103, 278, 35, 6, 98, 1]
13,[66, 187, 33, 240, 7, 45, 2, 12, 11, 5, 33, 0, 24, 3, 21, 42, 51, 65, 18, 0, 11, 6, 78, 32, 20, 16, 133, 9, 4, 49]
14,[129, 139, 45, 33, 31, 209, 53, 5, 0, 40, 5, 11, 125, 6, 77, 9, 3, 3, 52, 24, 210, 199, 0, 5, 5, 0, 4, 128, 167, 6]
15,[59, 188, 4, 65, 170, 57, 10, 17, 73, 2, 29, 0, 22, 22, 39, 3, 67, 4, 68, 6, 5, 7, 33, 211, 5, 46, 19, 4, 134, 89]
16,[75, 28, 30, 36, 148, 150, 130, 25, 43, 101, 368, 3, 37, 18, 26, 0, 71, 19, 8, 129, 72, 26, 161, 33, 16, 7, 6, 18, 57, 2]
17,[256, 228, 89, 111, 244, 239, 303, 5, 71, 61, 28, 39, 86, 76, 20, 4, 2, 10, 21, 8, 9, 49, 11, 112, 243, 189, 101, 24, 59, 33]
18,[72, 82, 214, 73, 100, 102, 4, 99, 74, 48, 139, 111, 3, 2, 76, 3, 32, 5, 159, 16, 5, 64, 35, 75, 124, 59, 46, 3, 141, 90]
19,[269, 205, 159, 265, 159, 66, 208, 1, 44, 98, 15, 16, 49, 127, 85, 4, 76, 0, 19, 19, 167, 43, 50, 19, 83, 8, 176, 58, 21, 111]
