evolutionary_step,[convergence_times]
0,[114, 0, 2, 2, 1, 4, 24, 6, 3, 23]
1,[59, 3, 2, 1, 0, 6, 35, 71, 23, 18]
2,[40, 68, 5, 34, 2, 66, 42, 13, 3, 3]
3,[3, 6, 5, 3, 0, 0, 2, 41, 5, 137]
4,[6, 3, 55, 9, 13, 4, 10, 5, 4, 114]
5,[5, 6, 8, 28, 1, 6, 5, 3, 2, 9]
6,[2, 4, 5, 0, 3, 13, 12, 2, 6, 20]
7,[6, 1, 6, 9, 1, 10, 3, 1, 25, 8]
8,[4, 4, 3, 3, 58, 4, 13, 1, 8, 4]
9,[386, 9, 5, 7, 1, 9, 2, 6, 10, 2]
10,[4, 7, 11, 4, 1, 27, 0, 4, 6, 1]
11,[10, 14, 30, 0, 8, 1, 4, 1, 0, 4]
12,[16, 18, 0, 1, 11, 10, 4, 10, 2, 31]
13,[3, 39, 22, 5, 5, 5, 2, 14, 2, 3]
14,[2, 25, 2, 11, 5, 3, 5, 23, 14, 82]
15,[5, 15, 15, 0, 3, 6, 1, 4, 5, 100000]
16,[11, 0, 36, 8, 5, 15, 11, 36, 85, 13]
17,[4, 13, 5, 82, 6, 47, 3, 10, 13, 78]
18,[58, 6, 74, 2, 10, 46, 108, 10, 100000, 1]
19,[26, 2, 318, 98, 1, 95, 25, 12, 161, 133]
20,[4, 58, 49, 9, 10, 33, 104, 7, 1, 14]
21,[31, 10, 18, 11, 43, 6, 21, 6, 42, 4]
22,[3, 39, 3, 13, 5, 6, 2, 2, 31, 353]
23,[52, 10, 22, 18, 6, 21, 12, 59, 0, 26]
24,[34, 8, 3, 13, 5, 63, 14, 0, 13, 1]
25,[32, 10, 40, 28, 107, 64, 29, 2, 8, 1]
26,[17, 4, 2, 3, 3, 7, 5, 2, 47, 3]
27,[12, 10, 100000, 6, 4, 9, 70, 7, 5, 25]
28,[0, 3, 4, 50, 3, 26, 7, 17, 133, 5]
29,[10, 16, 23, 2, 0, 2, 1, 24, 6, 12]
30,[20, 17, 10, 6, 1, 4, 3, 29, 5, 7]
31,[6, 10, 166, 2, 41, 2, 6, 0, 1, 21]
32,[22, 3, 0, 2, 7, 1, 5, 9, 6, 1]
33,[2, 7, 8, 2, 0, 11, 12, 0, 0, 1]
34,[7, 116, 41, 9, 14, 17, 4, 5, 7, 110]
35,[27, 2, 53, 1, 1, 11, 137, 2, 9, 3]
36,[8, 11, 1, 8, 15, 8, 2, 3, 120, 80]
37,[7, 33, 6, 285, 9, 179, 38, 30, 2, 6]
38,[3, 35, 55, 3, 8, 15, 6, 3, 5, 9]
39,[527, 13, 7, 120, 10, 4, 1, 10, 100000, 3]
40,[102, 28, 8, 25, 10, 49, 10, 29, 1, 3]
41,[7, 130, 5, 117, 12, 6, 96, 34, 33, 45]
42,[31, 13, 54, 2, 107, 16, 122, 6, 20, 4]
43,[37, 13, 5, 19, 3, 30, 3, 7, 19, 6]
