evolutionary_step,[convergence_times]
0,[2, 0, 0, 0, 3, 0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9, 0, 0, 30, 0, 0, 0, 1, 0, 0, 0, 0]
1,[0, 0, 3, 0, 0, 0, 0, 0, 0, 0, 9, 27, 28, 0, 0, 22, 0, 0, 4, 0, 0, 1, 0, 0, 0, 2, 18, 18, 2, 27]
2,[21, 5, 13, 0, 3, 0, 6, 26, 5, 1, 0, 0, 0, 5, 0, 0, 85, 13, 0, 9, 3, 11, 2, 16, 18, 0, 0, 0, 4, 6]
3,[6, 24, 3, 17, 6, 78, 64, 0, 6, 3, 4, 3, 4, 4, 3, 36, 15, 46, 0, 5, 7, 45, 11, 3, 4, 12, 5, 14, 12, 1]
4,[17, 12, 7, 19, 75, 6, 35, 0, 0, 6, 0, 8, 30, 5, 113, 0, 19, 41, 34, 0, 17, 4, 48, 5, 3, 15, 8, 21, 10, 4]
5,[5, 4, 6, 18, 21, 83, 24, 14, 12, 18, 5, 16, 0, 21, 5, 0, 14, 12, 4, 6, 3, 11, 4, 5, 52, 83, 5, 8, 23, 1]
6,[3, 29, 22, 19, 62, 103, 5, 10, 14, 24, 3, 0, 0, 34, 0, 58, 9, 3, 0, 8, 30, 4, 2, 5, 16, 12, 151, 1, 12, 63]
7,[113, 0, 95, 26, 58, 16, 31, 0, 24, 23, 13, 24, 11, 27, 3, 11, 16, 7, 8, 8, 10, 12, 36, 13, 14, 42, 31, 3, 123, 207]
8,[33, 12, 25, 77, 86, 22, 10, 21, 10, 3, 20, 16, 5, 83, 27, 57, 14, 18, 57, 7, 18, 172, 0, 20, 14, 17, 7, 10, 74, 23]
9,[54, 25, 89, 30, 60, 23, 13, 10, 14, 35, 125, 15, 9, 102, 78, 0, 24, 13, 104, 18, 6, 12, 21, 7, 13, 24, 145, 9, 7, 34]
10,[93, 30, 78, 42, 10, 73, 9, 20, 44, 9, 5, 53, 23, 4, 40, 12, 98, 35, 20, 2, 74, 12, 12, 127, 11, 6, 0, 10, 73, 14]
11,[78, 15, 89, 25, 55, 121, 3, 24, 19, 8, 0, 25, 11, 110, 5, 6, 0, 22, 115, 30, 29, 2, 19, 6, 28, 5, 124, 7, 14, 7]
12,[111, 66, 42, 24, 211, 157, 35, 14, 90, 118, 118, 2, 46, 16, 23, 5, 8, 6, 6, 72, 71, 61, 14, 0, 33, 5, 19, 3, 12, 17]
13,[19, 40, 13, 229, 125, 76, 7, 225, 20, 0, 13, 10, 0, 5, 21, 157, 4, 0, 122, 0, 26, 25, 2, 11, 16, 25, 23, 63, 47, 24]
14,[25, 58, 139, 185, 92, 94, 14, 0, 5, 14, 41, 146, 9, 29, 17, 36, 2, 17, 15, 6, 55, 6, 21, 0, 0, 90, 15, 37, 235, 26]
15,[21, 107, 72, 24, 62, 89, 89, 6, 13, 7, 28, 48, 7, 11, 56, 57, 69, 168, 8, 7, 15, 43, 52, 10, 128, 9, 18, 15, 5, 125]
16,[94, 105, 85, 90, 9, 35, 65, 5, 10, 61, 23, 6, 13, 42, 54, 18, 52, 70, 200, 18, 4, 12, 9, 0, 0, 54, 189, 54, 73, 18]
17,[83, 83, 199, 44, 99, 68, 24, 12, 87, 16, 37, 34, 156, 98, 2, 20, 161, 47, 16, 193, 34, 49, 47, 8, 74, 59, 24, 17, 30, 6]
18,[195, 75, 90, 81, 197, 144, 216, 137, 19, 36, 18, 39, 39, 10, 50, 10, 55, 0, 51, 61, 22, 28, 22, 81, 41, 0, 37, 36, 7, 38]
19,[79, 228, 219, 199, 235, 93, 39, 41, 10, 8, 1, 78, 0, 6, 52, 0, 59, 7, 6, 94, 25, 21, 5, 34, 49, 90, 9, 118, 142, 20]
